Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2023/129325,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-04-2023,Case Filed,"2023/424 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/126116,Appeal of commercial grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-04-2023,Case Filed,2023/81 Appeal of commercial grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/124516,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-04-2023,Case Filed,"2023/307 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/123699,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/4/2023,Case Filed,"2023/411 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/123013,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/4/2023,The Application Has Been Executed,2023/439 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/122016,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/319 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/122008,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/317 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/121912,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/316 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/121751,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/315 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/121645,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/314 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/121493,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,Case Filed,"2023/401 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/121257,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/4/2023,The Application Has Been Executed,2023/446 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/118258,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/4/2023,The Application Has Been Executed,2023/1712 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/118214,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/4/2023,Case Filed,"2023/300 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/114484,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/4/2023,Case Filed,"2023/2604 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/112920,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/4/2023,The Application Has Been Executed,2023/3799 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/112798,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/4/2023,Case Filed,"2023/386 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/112226,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/4/2023,The Application Has Been Executed,2023/3695 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/112101,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/4/2023,The Application Has Been Executed,2023/1259 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/110817,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,31-03-2023,The Application Has Been Executed,2023/269 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/109568,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-03-2023,Case Filed,"2023/149 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/108495,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-03-2023,Case Filed,"2023/381 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/108345,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-03-2023,Case Filed,"2023/283 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/108342,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-03-2023,Case Filed,"2023/279 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/108282,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-03-2023,Case Filed,"2023/286 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/105295,Real estate committees - Maydan company,سهاد الجبوري للمحاماة والإستشارات القانونية,27-03-2023,Case Filed,2023/2 Real estate committees - Maydan company,"Choose View Option
    View the application
    View the case"
2023/105129,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-03-2023,Case Filed,"2023/2342 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/104493,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-03-2023,Case Filed,"2023/272 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/104436,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-03-2023,The Application Has Been Executed,2023/3485 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/103054,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-03-2023,Case Filed,"2023/271 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/103026,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-03-2023,Case Filed,"2023/273 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/103017,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-03-2023,Case Filed,"2023/270 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/102192,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-03-2023,Case Filed,"2023/358 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/102166,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-03-2023,Case Filed,"2023/261 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/101008,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-03-2023,The Application Has Been Executed,2023/1083 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/98701,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-03-2023,The Application Has Been Executed,2023/365 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/98191,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-03-2023,The Application Has Been Executed,2023/178 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/97120,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-03-2023,Case Filed,"2023/357 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/94052,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-03-2023,Case Filed,2023/199 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2023/92032,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-03-2023,Case Filed,"2023/252 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/90219,Grievance on real estate execution,سهاد الجبوري للمحاماة والإستشارات القانونية,14-03-2023,The Application Has Been Executed,2023/23 Grievance on real estate execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/85373,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/3/2023,Case Filed,"2023/238 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/84702,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/3/2023,Case Filed,"2023/332 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/84650,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/3/2023,Case Filed,"2023/1981 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/83195,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/3/2023,The Application Has Been Executed,2023/151 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/83060,Civil Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/3/2023,Case Filed,"2023/140 Objection, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/82247,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/3/2023,The Application Has Been Executed,2023/150 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/81011,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/3/2023,The Application Has Been Executed,2023/304 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/80856,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/3/2023,The Application Has Been Executed,2023/145 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/75709,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/3/2023,The Application Has Been Executed,2023/2856 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/74042,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/3/2023,The Application Has Been Executed,2023/283 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/73790,Labor Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/3/2023,Case Filed,2023/2630 Labor,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/73785,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/3/2023,Case Filed,"2023/220 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/73671,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/3/2023,The Application Has Been Executed,2023/3221 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/72124,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2023,The Application Has Been Executed,2023/274 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/71951,Civil execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2023,Case Filed,"2023/658 Execution, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/71719,Labor Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2023,Case Filed,2023/2812 Labor,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/71184,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2023,Case Filed,"2023/302 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/70857,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2023,The Application Has Been Executed,2023/124 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/70398,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-02-2023,Case Filed,"2023/280 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/68777,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-02-2023,Case Filed,"2023/217 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/67407,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-02-2023,The Application Has Been Executed,2023/812 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
