Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2024/431477,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2024,Case Filed,2024/998 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2024/430588,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2024,The Application Has Been Executed,2024/13248 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/428747,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/12/2024,The Application Has Been Executed,"2024/660 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/425579,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,9/12/2024,The Application Has Been Executed,2024/30477 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/425417,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/12/2024,Case Filed,"2024/1187 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/423604,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,6/12/2024,The Application Has Been Executed,2024/1429 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/422241,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/12/2024,The Application Has Been Executed,"2024/428 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/422009,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/12/2024,Case Filed,"2024/1193 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/418792,Personal Status grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2024,Case Filed,2024/629 Sharia grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/418233,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2024,Case Filed,"2024/638 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/416954,تسجيل منازعة موضوعية التنفيذ العقاري,سهاد الجبوري للمحاماة والإستشارات القانونية,28-11-2024,Case Filed,2024/18 Substantive dispute in real estate execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/415394,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-11-2024,The Application Has Been Executed,"2024/53 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/415317,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-11-2024,The Application Has Been Executed,2024/2228 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/413898,Full jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-11-2024,The Application Has Been Executed,"2024/44 Civil, full jurisdiction","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/408808,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-11-2024,Case Filed,"2024/1161 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/408354,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2024,The Application Has Been Executed,2024/856 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/408307,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2024,Case Filed,"2024/1148 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/408161,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2024,Case Filed,"2024/1147 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/407913,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2024,Case Filed,"2024/1145 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/406351,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,20-11-2024,The Application Has Been Executed,2024/28594 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/406123,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-11-2024,Case Filed,"2024/1157 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/403330,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-11-2024,Case Filed,"2024/1126 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/402324,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,18-11-2024,Rejected (Not Subject To Review During The Set Period),,"Choose View Option
    View the application"
2024/399477,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-11-2024,Case Filed,"2024/1144 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/399018,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,15-11-2024,The Application Has Been Executed,2024/28368 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/397891,Appeal of commercial grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-11-2024,Case Filed,2024/222 Appeal of commercial grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/397679,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-11-2024,The Application Has Been Executed,2024/939 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/397598,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-11-2024,The Application Has Been Executed,2024/938 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/397037,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,13-11-2024,The Application Has Been Executed,2024/28365 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/393571,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,12/11/2024,The Application Has Been Executed,2024/28870 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/388442,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/11/2024,Case Filed,"2024/566 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/386839,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,6/11/2024,The Application Has Been Executed,2024/1300 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/385128,Full jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/11/2024,The Application Has Been Executed,"2024/6 Civil, full jurisdiction","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/384420,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/11/2024,Case Filed,"2024/4971 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/382949,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/11/2024,The Application Has Been Executed,"2024/1237 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/382215,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/11/2024,Case Filed,"2024/5677 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/380478,Full Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/11/2024,The Application Has Been Executed,"2024/12 Real estate, full jurisdiction,","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/379374,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-10-2024,Case Filed,"2024/587 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/377259,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-10-2024,The Application Has Been Executed,2024/882 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/376122,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-10-2024,The Application Has Been Executed,2024/2053 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/373731,Share'i execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-10-2024,Case Filed,"2024/1530 Execution, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/373450,Civil Arrestation case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-10-2024,The Application Has Been Executed,"2024/79 Provisional attachment, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/373331,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-10-2024,The Application Has Been Executed,2024/11261 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/372783,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-10-2024,The Application Has Been Executed,2024/4717 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/369970,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,24-10-2024,The Application Has Been Executed,2024/798 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/366854,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-10-2024,Case Filed,"2024/803 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/362548,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-10-2024,Case Filed,"2024/517 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/357487,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,16-10-2024,The Application Has Been Executed,2024/747 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/356691,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-10-2024,The Application Has Been Executed,2024/827 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/353528,Request of Reversing the Decisions and Verdicts of the Court of Cassation,سهاد الجبوري للمحاماة والإستشارات القانونية,14-10-2024,The Application Has Been Executed,2024/179 Request of Reversing the Decisions and Verdicts of the Court of Cassation,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/353466,Request of Reversing the Decisions and Verdicts of the Court of Cassation,سهاد الجبوري للمحاماة والإستشارات القانونية,14-10-2024,The Application Has Been Executed,2024/178 Request of Reversing the Decisions and Verdicts of the Court of Cassation,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/353353,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-10-2024,Case Filed,"2024/764 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/349313,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2024,The Application Has Been Executed,2024/1792 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/348058,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/10/2024,The Application Has Been Executed,2024/1597 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/346311,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/10/2024,Case Filed,"2024/959 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/344073,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/10/2024,Case Filed,"2024/738 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/343621,Civil Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/10/2024,Case Filed,"2024/430 Objection, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/341834,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/10/2024,Case Filed,"2024/929 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/340502,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/10/2024,The Application Has Been Executed,2024/4279 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/340482,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/10/2024,Case Filed,"2024/767 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339531,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1564 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339499,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1565 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339437,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1566 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339403,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1567 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339348,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1568 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339333,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1569 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339260,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1570 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339243,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1562 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339170,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1561 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/339165,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/10/2024,The Application Has Been Executed,2024/1560 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/337097,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/10/2024,The Application Has Been Executed,2024/785 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/335796,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,30-09-2024,The Application Has Been Executed,2024/706 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/334523,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-09-2024,The Application Has Been Executed,2024/787 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/334429,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-09-2024,The Application Has Been Executed,2024/786 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/330559,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-09-2024,The Application Has Been Executed,2024/1725 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/327358,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-09-2024,Case Filed,"2024/897 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/327006,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,23-09-2024,The Application Has Been Executed,2024/23819 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/322361,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-09-2024,The Application Has Been Executed,"2024/1033 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/322143,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-09-2024,The Application Has Been Executed,"2024/1039 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/317834,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-09-2024,The Application Has Been Executed,2024/3500 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/317734,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-09-2024,The Application Has Been Executed,2024/4009 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/312984,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,12/9/2024,The Application Has Been Executed,2024/676 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/307330,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/9/2024,The Application Has Been Executed,2024/1467 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/306806,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/9/2024,Case Filed,2024/717 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2024/306665,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/9/2024,The Application Has Been Executed,2024/1554 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/304007,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/9/2024,The Application Has Been Executed,2024/727 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/302130,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/9/2024,The Application Has Been Executed,2024/1479 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/297383,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/9/2024,The Application Has Been Executed,2024/8955 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/296315,Banks Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,2/9/2024,Case Filed,2024/166 Banks Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/293486,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-08-2024,Case Filed,"2024/812 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/293345,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-08-2024,Case Filed,"2024/459 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/289691,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-08-2024,Case Filed,"2024/476 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/288724,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-08-2024,Case Filed,"2024/866 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/287642,Execution of a Labor Decision,سهاد الجبوري للمحاماة والإستشارات القانونية,26-08-2024,Case Filed,2024/3315 Execution of a Labor Decision,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/283868,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-08-2024,The Application Has Been Executed,2024/1041 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/283723,Appeal of commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-08-2024,Case Filed,2024/429 Appeal of commercial execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/282245,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-08-2024,The Application Has Been Executed,2024/3101 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/280391,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,20-08-2024,The Application Has Been Executed,2024/613 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/280167,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-08-2024,The Application Has Been Executed,2024/3040 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/279299,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-08-2024,Case Filed,"2024/788 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/278215,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-08-2024,Case Filed,"2024/789 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/277064,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-08-2024,The Application Has Been Executed,2024/1551 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/275806,Share'i execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-08-2024,Case Filed,"2024/1178 Execution, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/269176,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/8/2024,The Application Has Been Executed,2024/646 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/267701,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/8/2024,Case Filed,"2024/436 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/266897,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/8/2024,The Application Has Been Executed,2024/1345 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/265677,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/8/2024,The Application Has Been Executed,2024/1303 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/264211,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/8/2024,Case Filed,"2024/4217 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/263966,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/8/2024,Case Filed,"2024/741 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/263398,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/8/2024,Case Filed,"2024/756 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/262272,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/8/2024,Case Filed,"2024/742 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/259905,Request of Reversing the Decisions and Verdicts of the Court of Cassation,سهاد الجبوري للمحاماة والإستشارات القانونية,5/8/2024,The Application Has Been Executed,2024/142 Request of Reversing the Decisions and Verdicts of the Court of Cassation,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/257974,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/8/2024,The Application Has Been Executed,2024/3299 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/252064,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-07-2024,The Application Has Been Executed,2024/1201 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/248957,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,26-07-2024,The Application Has Been Executed,2024/576 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/248857,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-07-2024,The Application Has Been Executed,2024/590 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/243708,Conjugal matters case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-07-2024,Case Filed,2024/4972 Marital matters,"Choose View Option
    View the application
    View the case"
2024/243562,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-07-2024,The Application Has Been Executed,2024/583 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/240169,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-07-2024,Case Filed,"2024/704 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/240056,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-07-2024,Case Filed,"2024/700 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/237508,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-07-2024,The Application Has Been Executed,2024/1255 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/236372,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-07-2024,Case Filed,"2024/498 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/235115,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-07-2024,Case Filed,"2024/682 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/232512,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-07-2024,The Application Has Been Executed,2024/1141 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/229259,Order on petition-Personal Status case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/7/2024,The Application Has Been Executed,"2024/2639 Order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/226810,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/7/2024,The Application Has Been Executed,2024/549 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/223254,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/7/2024,The Application Has Been Executed,2024/7211 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/222993,Personal Status grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/7/2024,Case Filed,2024/311 Sharia grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/221731,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/7/2024,The Application Has Been Executed,2024/887 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/221421,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/7/2024,The Application Has Been Executed,2024/1091 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/221168,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/7/2024,The Application Has Been Executed,2024/2464 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/221131,Order on petition-Personal Status case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/7/2024,The Application Has Been Executed,"2024/2543 Order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/220152,Civil Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/7/2024,The Application Has Been Executed,"2024/76 Order on petition, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/220066,Personal Status of Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/7/2024,Case Filed,"2024/1832 Personal Status, Muslim","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/216540,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/7/2024,The Application Has Been Executed,2024/1094 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/215143,Commercial Arrestation case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/7/2024,The Application Has Been Executed,"2024/248 Provisional attachment, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
